account_id,customer_id,balance,currency_code,acc_opening_date
100,108941,868541616.25,$,2023-04-26 23:13:26.632881
101,920626,1602435391.98,$,2022-03-28 23:13:26.632881
102,570711,1723672012.35,$,2021-08-02 23:13:26.632881
103,103680,442369698.23,$,2016-12-09 23:13:26.632881
104,292847,24058847.04,$,2017-03-11 23:13:26.632881
105,393520,394089374.34,$,2015-05-01 23:13:26.632881
106,35731,1798923430.41,$,2021-11-01 23:13:26.632881
107,598665,426837682.01,$,2020-07-19 23:13:26.632881
108,401490,1400888781.05,$,2015-06-11 23:13:26.632881
109,420488,487377419.57,$,2019-10-24 23:13:26.632881
110,332098,1950104377.14,$,2018-07-14 23:13:26.632881
111,732916,115788760.22,$,2020-06-20 23:13:26.632881
112,537610,1076944253.18,$,2017-10-16 23:13:26.632881
113,583810,426802434.79,$,2022-10-23 23:13:26.632881
114,12160,254258380.59,$,2019-03-04 23:13:26.632881
115,978270,1514055563.86,$,2020-11-15 23:13:26.632881
116,638846,644261624.1,$,2017-05-02 23:13:26.632881
117,222746,381166707.37,$,2015-04-01 23:13:26.632881
118,321908,1586776725.28,$,2018-09-15 23:13:26.632881
119,841132,762379986.99,$,2018-09-09 23:13:26.632881
120,993482,475871418.87,$,2021-02-08 23:13:26.632881
121,953325,1242748061.92,$,2019-01-24 23:13:26.632881
122,711671,1727939973.05,$,2021-09-05 23:13:26.632881
123,786891,1700782254.41,$,2015-09-25 23:13:26.632881
124,564370,266884647.12,$,2015-09-25 23:13:26.632881
125,754265,1554200008.53,$,2018-10-29 23:13:26.632881
126,694902,175723744.96,$,2018-07-03 23:13:26.632881
127,361971,438425044.32,$,2016-02-20 23:13:26.632881
128,814803,304285658.17,$,2021-06-09 23:13:26.632881
129,40756,1090271809.12,$,2020-11-30 23:13:26.632881
130,140269,208554565.48,$,2015-03-24 23:13:26.632881
131,878874,634889009.98,$,2016-01-01 23:13:26.632881
132,988283,1400672070.3,$,2023-01-25 23:13:26.632881
133,502220,699248139.21,$,2019-12-19 23:13:26.632881
134,923458,1708565242.03,$,2020-05-20 23:13:26.632881
135,691428,980954218.95,$,2018-05-10 23:13:26.632881
136,905335,1003588843.93,$,2018-06-21 23:13:26.632881
137,616048,228697150.07,$,2020-08-18 23:13:26.632881
138,426394,490171710.32,$,2021-11-06 23:13:26.632881
139,536312,1028494013.93,$,2022-06-20 23:13:26.632881
140,600032,972483433.79,$,2022-06-30 23:13:26.632881
141,934925,1256093137.36,$,2023-04-02 23:13:26.632881
142,612932,296706657.45,$,2017-02-20 23:13:26.632881
143,630180,1240601602.2,$,2019-04-08 23:13:26.632881
144,833629,1398170144.27,$,2020-12-07 23:13:26.632881
145,692428,982294678.39,$,2022-12-11 23:13:26.632881
146,846431,596737757.93,$,2016-03-20 23:13:26.632881
147,411148,173785687.21,$,2017-11-08 23:13:26.632881
148,209532,1518841458.33,$,2020-08-17 23:13:26.632881
149,112827,660740225.23,$,2021-05-16 23:13:26.632881
150,646411,1257258706.92,$,2015-08-16 23:13:26.632881
151,674740,1294724355.73,$,2023-03-04 23:13:26.632881
152,654352,993408679.27,$,2019-03-14 23:13:26.632881
153,258217,798109737.5,$,2016-08-30 23:13:26.632881
154,249846,1229797378.79,$,2020-04-27 23:13:26.632881
155,141260,1836091271.98,$,2022-03-12 23:13:26.632881
156,516880,1154248330.59,$,2015-05-18 23:13:26.632881
157,914825,678702279.7,$,2019-09-11 23:13:26.632881
